120, 1
83, 1
53, 1
54, 1
17, 1
81, 1
114, 1
133, 1
90, 1
4, 1
3, 1
76, 1
75, 1
78, 1
42, 1
47, 1
51, 1
142, 1
139, 1
27, 1
2, 1
20, 1
44, 1
39, 1
9, 1
113, 1
64, 1
71, 1
87, 1
99, 1
29, 1
98, 1
66, 1
135, 1
40, 1
138, 1
118, 1
109, 1
86, 1
93, 1
43, 1
73, 1
8, 1
77, 1
16, 1
45, 1
7, 1
19, 1
13, 1
116, 1
28, 1
22, 1
41, 1
92, 1
30, 1
102, 1
140, 1
79, 1
126, 1
82, 1
24, 1
23, 1
106, 1
61, 1
136, 1
57, 1
14, 1
18, 1
21, 1
85, 1
107, 1
35, 1
33, 1
15, 1
63, 1
91, 1
88, 1
105, 1
52, 1
49, 1
122, 1
34, 1
11, 1
48, 1
119, 1
130, 1
12, 1
60, 1
112, 1
36, 1
95, 1
59, 1
117, 1
6, 1
25, 1
32, 1
55, 1
62, 1
137, 1
100, 1
97, 1
96, 1
31, 1
1, 37
1, 128
1, 70
1, 123
1, 72
1, 103
1, 58
1, 26
1, 38
1, 111
1, 5
1, 65
1, 84
1, 94
1, 132
1, 110
1, 89
1, 121
1, 69
1, 108
1, 115
1, 144
1, 50
1, 129
1, 134
1, 68
1, 141
1, 56
1, 80
1, 131
1, 125
1, 127
1, 74
1, 104
1, 143
1, 67
1, 101
1, 46
1, 10
1, 124
120, 53
120, 17
120, 27
120, 34
120, 70
83, 22
83, 52
83, 49
53, 17
53, 114
53, 4
53, 7
53, 28
54, 114
54, 4
54, 71
54, 98
54, 93
54, 7
17, 114
17, 90
17, 47
17, 27
17, 113
17, 71
17, 87
17, 99
17, 98
17, 93
17, 7
17, 28
17, 41
17, 11
17, 103
81, 7
81, 61
81, 88
81, 34
81, 130
81, 84
81, 89
114, 90
114, 4
114, 27
114, 71
114, 87
114, 99
114, 93
114, 7
114, 28
114, 41
114, 72
133, 51
133, 44
133, 43
133, 15
133, 91
133, 70
133, 5
90, 4
90, 27
90, 87
90, 99
90, 98
90, 93
90, 7
90, 28
90, 41
90, 14
90, 34
90, 72
4, 47
4, 71
4, 87
4, 99
4, 29
4, 98
4, 109
4, 93
4, 73
4, 7
4, 28
3, 27
76, 2
76, 59
76, 84
76, 80
78, 51
78, 39
78, 138
78, 16
78, 48
47, 142
47, 139
47, 39
47, 9
47, 113
47, 99
47, 98
47, 41
47, 30
47, 126
47, 61
47, 136
47, 33
47, 15
47, 88
47, 52
47, 34
47, 11
47, 48
47, 70
47, 72
47, 103
47, 110
47, 89
47, 56
47, 127
47, 67
47, 46
51, 138
51, 16
51, 136
142, 64
142, 126
142, 12
142, 55
142, 65
142, 108
142, 131
142, 143
142, 67
139, 44
139, 39
139, 138
139, 23
139, 136
139, 35
139, 63
139, 91
139, 88
139, 48
139, 130
139, 112
139, 36
139, 117
139, 6
139, 62
139, 100
139, 31
139, 70
139, 123
139, 103
139, 58
139, 38
139, 5
139, 84
139, 110
139, 89
139, 129
139, 80
139, 125
139, 127
139, 74
27, 71
27, 87
27, 99
27, 98
27, 138
27, 7
27, 28
27, 41
27, 102
27, 72
2, 29
2, 73
2, 8
20, 19
44, 135
44, 21
44, 52
